"CODIGO_DANE","MUNICIPIO","DEPTO","COD_LOCAL","LOCAL","EST_DIRECCION","NIT","OPERADOR","CONTRATO"
"05001","MEDELLÍN","ANTIOQUIA","20.552","ROYAL CASINOS S.A.S.","CL 61 130 39","900450104","BILLARES LA ORQUIDEA","C1767"
"05001","MEDELLÍN","ANTIOQUIA","22.513","EMPRESARIOS UNIDOS DE COLOMBIA S. A.","CL 53 51 34","811046779","CASINO PLAZA BOTERO","C2003"
"05001","MEDELLÍN","ANTIOQUIA","22.521","BINGOS CODERE S. A.","CL 10 32 115 LC 9912 9915 9916 9920","830147464","CASINO Y BINGO MUNDO FORTUNA VIZCAYA","C1745"
"05001","MEDELLÍN","ANTIOQUIA","37.623","INVERSIONES CASH LTDA","CR 70 47 15","811041913","GANAMANIA NO 2","C1772"
"05001","MEDELLÍN","ANTIOQUIA","37.624","INVERSIONES CASH LTDA","CR 70 43 18","811041913","SALA DE JUEGOS ATLANTIS CASINO","C1772"
"05001","MEDELLÍN","ANTIOQUIA","23.960","INVERSIONES GIRALDO S. A. S.","CL 50 47 36","811043502","LA FORTUNA DE PORKYS","C1941"
"05001","MEDELLÍN","ANTIOQUIA","37.508","CODERE COLOMBIA S.A.","CR 51 41 221","860520306","CANTINA LA GRUTA","C1948"
"05001","MEDELLÍN","ANTIOQUIA","37.328","INVERSIONES CASH LTDA","CR 48 10 45 LC 13 014","811041913","CASINO DINASTIA","C1772"
"05001","MEDELLÍN","ANTIOQUIA","37.399","OPERADORES ASOCIADOS S.A.","CL 48 E 93 00","811042793","OPERADORES ASOCIADOS","C1875"
"05001","MEDELLÍN","ANTIOQUIA","55.270","HERMANOS CHAVERRA SAS","CR 51 53 129","901523665","CASINO IMPERIAL MEDELLIN","C1882"
"05001","MEDELLÍN","ANTIOQUIA","57.628","HSQ INVERSIONES S.A.S.","CL 52 A  50  19","900565733","CASINO HOTEL NUTIBARA EXPRESS","C1984"
"05001","MEDELLÍN","ANTIOQUIA","55.334","INVERSIONES GAMBLING SAS","CALLE 56 FB 18 C 12","901493089","BILLARES RIGO LA ESTACION","C1884"
"05001","MEDELLÍN","ANTIOQUIA","55.469","DIVERSIONES JROYAL SAS","CR 55   80 B 46","901370270","CASINO EL BOSQUE 1","C2121"
"05001","MEDELLÍN","ANTIOQUIA","55.471","DIVERSIONES JROYAL SAS","CL 123   50 B 45","901370270","CASINO LA 123","C2121"
"05001","MEDELLÍN","ANTIOQUIA","57.330","EDS INVERSIONES S.A.S.","CR 79   1 C 30","900624957","ENGRANDE 197","C1836"
"05001","MEDELLÍN","ANTIOQUIA","57.331","EDS INVERSIONES S.A.S.","CR 79   1  30","900624957","ENGRANDE 198","C1836"
"05001","MEDELLÍN","ANTIOQUIA","57.329","EDS INVERSIONES S.A.S.","CR 48   49  61","900624957","ENGRANDE 196","C1862"
"05001","MEDELLÍN","ANTIOQUIA","57.062","CODERE COLOMBIA S.A.","CR 64 C 78  344 Local 107 CENTRO COMERCIAL TERMINAL DEL NORTE","860520306","CASINO FANTASIA ROYAL TERMINAL DEL NORTE","C1948"
"05001","MEDELLÍN","ANTIOQUIA","59.544","MEGAJUEGOS HJN SAS","CRA 46 47 66 LOCAL 1088 1090","901196936","MEGAJUEGOS HJN TRILENIUM","C2088"
"05001","MEDELLÍN","ANTIOQUIA","58.795","ACERTAR EMPRESARIAL S.A.S.","CALLE 47DD No. 86 48","901008683","CASINO MALL LA 47","C2029"
"05001","MEDELLÍN","ANTIOQUIA","59.008","KONAMET S.A.S","CL 44   84  57","901166159","CASINO ASTOR 1","C2049"
